name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
orig_site_lat	original geographic location (latitude)	MIXS:0001358		The latitude coordinate of the original geographical origin of the sample, e.g. the original place the sample was buried, deposited, or formed. In cases where the sample was directly sampled in the burial environment for the purposes of scientific investigation, this will be the same as geo_loc_name, and lat_lon. For samples kept in collections, the geo_loc_name and lat_lon terms are used to refer to the collection where the sample is stored, but this term is used for the original geographic location the sample existed in prior to archiving in a collection (i.e., should correspond to  orig_site_loc, not the collection itself as recorded in site_name). The values should be reported in decimal degrees, limited to 8 decimal points, and in WGS84 system.	{'value': '-0.123'}	environment		False		string	False	False		{'syntax': '^{lat}$', 'interpolated': True, 'partial_match': True}		
orig_site_loc	original site location	MIXS:0001357		The original geographical origin of the sample, when sampled outside its original natural environment (e.g. sampled in a museum collection), as defined by the country or sea name followed by specific region name.  Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ).	{'value': 'Northern Italy: Lombardy'}	environment	location|site	False		string	False	False		{'syntax': '^{country}: {region}, {specific_location}$', 'interpolated': False, 'partial_match': False}	Name of original geographic origin of the sample	
orig_site_lon	original geographic location (longitude)	MIXS:0001359		The longitude coordinate of the original geographical origin of the sample, e.g. the original place the sample was buried, deposited, or formed. In cases where the sample was directly sampled in the burial environment for the purposes of scientific investigation, this will be the same as geo_loc_name, and lat_lon. For samples kept in collections, the geo_loc_name and lat_lon terms are used to refer to the collection where the sample is stored, but this term is used for the original geographic location the sample existed in prior to archiving in a collection (i.e., should correspond to orig_site_loc, not the collection itself, as recorded in site_name). The values should be reported in decimal degrees, limited to 8 decimal points, and in WGS84 system.	{'value': '-12.12'}	environment		False		string	False	False		{'syntax': '^{lon}$', 'interpolated': True, 'partial_match': True}		
orig_site_name	name of site or location where sample originated	MIXS:0001356		Designated name of the archaeological or ecological site, ancient settlement, or location etc. where the sample was originally collected. Can be a non-geographical name, such as a field-specific name or code, the official name of an excavation, or a colloquial name that is used in academic literature. Typically names that would not be found on official maps. If the site name is unclear please use the name of the closest location or region as best as possible. Can also include different transliterations or languages used in the literature.	{'value': 'Northern Italy, Lombardy, exact location unknown'}	environment	environment|sample	True		string	True	False			Name of site or location where sample was originated	
palaeopath_status	palaeopathology status	MIXS:0001381		Describe briefly any relevant palaeopathological or health-related observations of the remains of the individual or subject under study.	{'value': 'Caries on right upper molar.'}	environment	palaeopathology|host health|ancient	False		string	False	False	{text}		description of health related observation on ancient remains	
past_env_broad	broad-scale past environmental context	MIXS:0001360		"Report information about the general ancient broad environmental system that the sample or specimen existed or lived within, as it was at the time of deposition or burial (e.g. in the desert or a forest). This should not describe the environment as it is today (e.g. farmland), but specifically the state as it was in the past (i.e. the palaeo- or (pre)historical ecosystem). Compared to `env_broad_scale` which is taken from direct observation, the information about the past environment will normally be derived from inference from archaeological, palaeontological, geological, or other scientific methods. We recommend using subclasses of EnvO s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field for present day equivalents: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS\"""""	{'value': 'dessert biome [ENVO:01000247]'}	environment	context|environmental|ancient		^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	string	True	False		{'syntax': '^{termLabel} \\[{termID}\\]$', 'interpolated': True, 'partial_match': True}		
past_env_local	local past environmental context	MIXS:0001361		Report information about the smaller-scale environmental system of the local vicinity of the sample or specimen at the time of deposition or burial (e.g. in hillside, burial mound, or midden). This should not describe the environment as it is today (e.g. carpark), but specifically the entity or entities surrounding the sample that may have significant causal influences as it was in the past. Compared to `env_local_scale` which is taken from direct observation, the information about the past environment will normally be derived from inference from archaeological, palaeontological, geological, or other scientific methods. We recommend using EnvO terms which are of smaller than your entry for past_env_broad. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field for present day equivalents: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS\	{'value': 'hillside [ENVO:01000333]'}	environment	context|environmental|ancient			string	True	False	{termLabel} [{termID}]		Report information about smaller environmental entities having causal influences upon the sample or specimen at/during the time of burial	
permit_authority	permit authority	MIXS:0001365		Name of the authorit(ies) or institution(s) that granted sampling and analysis (e.g. human remains) and/or export permission (e.g. animal remains), as well any form of ethical approval (whether from institutional research ethics boards such as REB or IRBs, or indigenous or native community associations), if available.	{'value': 'Federal Foreign Office (Germany)'}	nucleic acid sequence source	ethics|location	True		string	True	False			Name of authority providing permission or ethical approval.	
permit_date	date of permit approval	MIXS:0001366		Date on which a permit was granted. The date can be right truncated i.e. all of these are valid times: 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant.	{'value': '2023-12-01'}	nucleic acid sequence source		True		datetime	True	False				
permit_id	permit or approval ID	MIXS:0001364		A permit ID, code, or any form of identify provided by any authority (ethical, local, legal, academic etc.) associated with the approval of the analysis of this particular sample, if available.	{'value': 'DE-123-JK'}	nucleic acid sequence source	ethics	True		string	True	False				
permit_scope	permit scope	MIXS:0001367		Description of the original scope and permissions of the research on the genetic material, as was approved by a legal, ethical, or relevant authority (e.g. bacteria only, DNA only, bacteria and human, no host read analysis allowed). Note this description is only informative, and will not necessarily automatically apply restrictions to associated data to other researchers.	{'value': 'Defined scope only includes the study of bacterial sequences and any human sequence is not covered under the agreement.'}	nucleic acid sequence source	ethics	True		string	True	False	{text}		Description of the scope of ethical permissions for data use.	
prev_pubs	previous publications	MIXS:0001370		Any previous publications that report non-nucleic acid data from the same sample or ultimate source of the sample	{'value': 'doi:10.1016/j.jas.2015.02.0181'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string	False	False		{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
reads_removed	description of reads removal	MIXS:0001399		Specify whether associated data was filtered in some form prior to upload, such as host reads removal. Detailed description of the the data filtering that was carried out should be described in term 'preprocessing of sequencing reads description'.	{'value': 'yes'}	sequencing	data analysis	False		boolean	True	False			Whether any sequencing reads were removed from the data files after sequencing	
reamp_pcr_cyc_tot	number of reamplification cycles	MIXS:0001394		Number of amplification cycles after library indexing PCR. If capture data, this refers to amplifications prior to the capture experiments.	{'value': '12'}	sequencing				integer						
samp_alt_lab_ids	alternative sample IDs	MIXS:0001369		An alternative sample or material ID related to the sample not already covered by terms samp_name and source_mat_id, including from associated other non-genetic analyses of the same sample, that can be used synonymously with the main ID. For example: external database IDs, internal lab sample ID from sampling such as bone drilling, or IDs from other scientific analyses. Can be specified multiple times for different ID contexts.	{'value': 'Museum ID: NHM_AR_123, Drilling ID: DRL_001, Extraction ID: ABC_24'}	nucleic acid sequence source		True		string	False	False	{text}			
samp_category	sample category	MIXS:0001383		"The type/category of a sample. ""Sample"" includes biological and technical replicates."	{'value': 'positive control'}	nucleic acid sequence source	control			SampCategoryEnum	True	True				
samp_decont_pretreat	sample decontamination pretreatment	MIXS:0001384		Protocols employed for sample surface decontamination of external  modern nucleic acids; Treatment used on the samples immediately prior to nucleic acid extraction. Dependant on the sample type.  More relevant for bones than environmental samples. E.g. buffers, EDTA, etc.	{'value': 'doi:10.1016/j.jas.2015.02.0181'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
samp_preserv_treatm	preservational treatment	MIXS:0001372		Description of any treatment applied directly to samples for the specific purpose of  maximising longevity of sample preservation in archives and/or collections by curators  that may influence downstream nucleic acid recovery or library construction, such as storage fluid or  reconstructive glue.	{'value': 'alcohol preserved'}	nucleic acid sequence source	ancient	True		string	False	False	{text}			
sop_experimental	experimental standard operating procedure	MIXS:0001387		Provide a DOI or URL to refer to the paper where the field report, nucleic acid extraction,  library construction, and other procedures are explained in more detail, e.g. the paper reporting the data.	{'value': 'doi:10.1093/nar/gkr771'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string	False	False		{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
sop_lib_preparation	library preparation protocols	MIXS:0001393		Citation(s) for the nucleic acid library preparation protocol.	{'value': 'doi:10.1093/nar/gkr771'}	sequencing		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string	False	False		{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
store_cond	storage conditions	MIXS:0000327		Explain how and for how long the sample was stored before DNA extraction (for example, fresh/frozen/other). Include factors that may influence nucleic acid recovery or library construction. For example, specify temperature, humidity, presence of microbial overgrowth etc..	{'value': 'Stored in the museum from 1924 to 2021'}		condition|storage			string				{'syntax': '^{storage_condition_type};{duration}$', 'interpolated': False, 'partial_match': False}		
stratigraph_context	stratigraphic context	MIXS:0001362		Associated stratigraphic context(s) that the sample was retrieved from, usually from an archaeological or palaeontological excavation. Description(s) or identifier(s) of stratigraphic units or layer names within and/or relative to the site (e.g., stratigraphic unit ID, archaeological feature ID, layer name or a description, grid location).	{'value': 'Black Mousterian (BM)'}	environment	identifiers|excavation	True		string	False	False			Stratigraphic context that the sample was retrieved from	
